color,name,hex_web,r,g,b,box84,box64,box96,box120
,Tan,#FA9D5A,250,157,90,Yes,Yes,Yes,Yes
,Desert Sand,#EDC9AF,237,201,175,No,No,No,Yes
,Peach,#FFCBA4,255,203,164,Yes,Yes,Yes,Yes
,Apricot,#FDD5B1,253,213,177,Yes,Yes,Yes,Yes
,Almond,#EED9C4,238,217,196,No,No,No,Yes
,Shadow,#837050,131,112,80,No,No,No,Yes
,Gold (II),#E6BE8A,230,190,138,No,Yes,Yes,Yes
,Silver,#C9C0BB,201,192,187,No,Yes,Yes,Yes
,Copper,#DA8A67,218,138,103,No,No,Yes,Yes
,Antique Brass,#C88A65,200,138,101,No,No,No,Yes
,Black,#000000,0,0,0,Yes,Yes,Yes,Yes
,Gray,#8B8680,139,134,128,Yes,Yes,Yes,Yes
,Timberwolf,#D9D6CF,217,214,207,Yes,Yes,Yes,Yes
,White,#FFFFFF,255,255,255,Yes,Yes,Yes,Yes
